Title	URL	Abstract views	PDF views	Original submission	Current submission
Metabolic characterization of menopause: cross-sectional and longitudinal evidence	http://biorxiv.org/content/early/2017/09/29/195909	NA	NA	2017_09_29	2017_09_29
Phylodynamic assessment of intervention strategies for the West African Ebola virus outbreak	http://biorxiv.org/content/early/2017/09/29/163691	NA	NA	2017_09_29	2017_09_29
Spatial correlation as an early warning signal of regime shifts in a multiplex disease-behaviour network	http://biorxiv.org/content/early/2017/09/29/195388	NA	NA	2017_09_29	2017_09_29
Nasal and aerosol shedding of infectious influenza virus - a community based study	http://biorxiv.org/content/early/2017/09/29/194985	NA	NA	2017_09_29	2017_09_29
Parallel progress in perceived age and life expectancy	http://biorxiv.org/content/early/2017/09/29/195990	NA	NA	2017_09_29	2017_09_29
Simultaneous representation of a spectrum of dynamically changing value estimates during decision making	http://biorxiv.org/content/early/2017/09/29/195842	NA	NA	2017_09_29	2017_09_29
State-Based Delay Representation and Its Transfer from a Game of Pong to Reaching and Tracking	http://biorxiv.org/content/early/2017/09/29/195982	NA	NA	2017_09_29	2017_09_29
Complexity of the Relationship between Life Expectancy and Overlap of Lifespans	http://biorxiv.org/content/early/2017/09/29/195867	NA	NA	2017_09_29	2017_09_29
SAMSA2: A standalone metatranscriptome analysis pipeline	http://biorxiv.org/content/early/2017/09/29/195826	NA	NA	2017_09_29	2017_09_29
Karrikin-sensing protein KAI2 is a new player in regulating root growth patterns	http://biorxiv.org/content/early/2017/09/29/195891	NA	NA	2017_09_29	2017_09_29
PHENOS: a high-throughput and flexible tool for microorganism growth phenotyping on solid media	http://biorxiv.org/content/early/2017/09/29/195784	NA	NA	2017_09_29	2017_09_29
BldC delays entry into development to produce a sustained period of vegetative growth in Streptomyces venezuelae	http://biorxiv.org/content/early/2017/09/29/194126	NA	NA	2017_09_29	2017_09_29
Genome-wide association study of social relationship satisfaction: significant loci and correlations with psychiatric conditions	http://biorxiv.org/content/early/2017/09/29/196071	NA	NA	2017_09_29	2017_09_29
Reconstructing the Molecular Life History of Gliomas	http://biorxiv.org/content/early/2017/09/29/192369	NA	NA	2017_09_29	2017_09_29
Evaluation of MRI sequences for quantitative T1 brain mapping	http://biorxiv.org/content/early/2017/09/29/195859	NA	NA	2017_09_29	2017_09_29
Activation of the Androgen Receptor gene by BORIS/CTCFL in prostate cancer cells	http://biorxiv.org/content/early/2017/09/29/195875	NA	NA	2017_09_29	2017_09_29
Genome-wide association analysis identifies 26 novel loci for asthma, hay fever and eczema	http://biorxiv.org/content/early/2017/09/29/195933	NA	NA	2017_09_29	2017_09_29
Structural network maturation of the preterm human brain	http://biorxiv.org/content/early/2017/09/29/195800	NA	NA	2017_09_29	2017_09_29
Desert Tortoises in the Genomic Age: Population Genetics and the Landscape	http://biorxiv.org/content/early/2017/09/29/195743	NA	NA	2017_09_29	2017_09_29
Embryonic and postnatal neurogenesis produce functionally distinct subclasses of dopaminergic neuron	http://biorxiv.org/content/early/2017/09/29/196006	NA	NA	2017_09_29	2017_09_29
CRISPR-Based DNA Imaging in Living Cells Reveals Cell Cycle-Dependent Chromosome Dynamics	http://biorxiv.org/content/early/2017/09/29/195966	NA	NA	2017_09_29	2017_09_29
EVOLUTIONARY ANALYSIS OF CANDIDATE NON-CODING ELEMENTS REGULATING NEURODEVELOPMENTAL GENES IN VERTEBRATES	http://biorxiv.org/content/early/2017/09/29/150482	660	278	2017_08_30	2017_09_29
Genome-Wide Characterization Of Differential Transcript Usage In Arabidopsis thaliana	http://biorxiv.org/content/early/2017/09/29/136770	1155	363	2017_05_11	2017_09_29
Estimating Time Of HIV-1 Infection From Next-Generation Sequence Diversity	http://biorxiv.org/content/early/2017/09/29/129387	600	224	2017_04_21	2017_09_29
Sinusoidal Voltage Protocols For Rapid Characterization Of Ion Channel Kinetics	http://biorxiv.org/content/early/2017/09/29/100677	936	411	2017_03_13	2017_09_29
Green microalga Trebouxia sp. produces strigolactone-related compounds	http://biorxiv.org/content/early/2017/09/29/195883	NA	NA	2017_09_29	2017_09_29
High-throughput creation and functional profiling of eukaryotic DNA sequence variant libraries using CRISPR/Cas9	http://biorxiv.org/content/early/2017/09/29/195776	NA	NA	2017_09_29	2017_09_29
A multi-locus association analysis method integrating phenotype and expression data reveals multiple novel associations to flowering time variation in wild-collected Arabidopsis thaliana	http://biorxiv.org/content/early/2017/09/29/195446	NA	NA	2017_09_29	2017_09_29
Visual evidence accumulation behavior in unrestrained mice	http://biorxiv.org/content/early/2017/09/29/195792	NA	NA	2017_09_29	2017_09_29
Accessibility of the Shine-Dalgarno sequence dictates N-terminal codon bias in E. coli	http://biorxiv.org/content/early/2017/09/28/195727	3	2	2017_09_28	2017_09_28
EWS-FLI-1 creates a cell surface microenvironment conducive to IGF signaling by inducing pappalysin-1.	http://biorxiv.org/content/early/2017/09/28/195693	6	1	2017_09_28	2017_09_28
MTH1 deficiency selectively increases non-cytotoxic oxidative DNA damage in lung cancer cells: more bad news than good?	http://biorxiv.org/content/early/2017/09/28/195750	4	1	2017_09_28	2017_09_28
Zwitterionic hydrogels modulate the foreign body response in a modulus-dependent manner	http://biorxiv.org/content/early/2017/09/28/195719	3	1	2017_09_28	2017_09_28
The fractional coalescent	http://biorxiv.org/content/early/2017/09/28/195677	53	5	2017_09_28	2017_09_28
Ecosystem functional response across precipitation extremes in a sagebrush steppe	http://biorxiv.org/content/early/2017/09/28/195594	NA	NA	2017_09_28	2017_09_28
Identification of genome-wide significant shared genomic segments in large extended Utah families at high risk for completed suicide	http://biorxiv.org/content/early/2017/09/28/195644	64	4	2017_09_28	2017_09_28
Cell size-dependent regulation of Wee1 localization by Cdr2 cortical nodes	http://biorxiv.org/content/early/2017/09/28/195628	49	1	2017_09_28	2017_09_28
Integrating phylogenetic and network approaches to study gene family evolution: the case of the AGAMOUS family of floral genes	http://biorxiv.org/content/early/2017/09/28/195669	57	3	2017_09_28	2017_09_28
Unexpected CRISPR off-target mutation pattern in vivo are not typically germline-like	http://biorxiv.org/content/early/2017/09/28/193565	53	1	2017_09_28	2017_09_28
Microtubule regulation of integrin-based adhesions is mediated by myosin-IIA	http://biorxiv.org/content/early/2017/09/28/195495	47	1	2017_09_28	2017_09_28
Dietary xenoestrogens significantly alter cellular metabolism induced by palbociclib/letrozole combination cancer therapy	http://biorxiv.org/content/early/2017/09/28/188102	62	3	2017_09_28	2017_09_28
Ascertainment bias can create the illusion of genetic health disparities	http://biorxiv.org/content/early/2017/09/28/195768	56	3	2017_09_28	2017_09_28
Odonata diversity of the eastern region of Bangladesh with four new addition to the Bangladeshi dragonfly fauna	http://biorxiv.org/content/early/2017/09/28/195438.1	95	8	2017_09_28	2017_09_28
Fundamentals of rapid injection molding for microfluidic cell-based assays	http://biorxiv.org/content/early/2017/09/28/194605	76	9	2017_09_27	2017_09_28
Dephosphorylation of the NPR2 guanylyl cyclase contributes to inhibition of bone growth by fibroblast growth factor	http://biorxiv.org/content/early/2017/09/28/193847	23	2	2017_09_25	2017_09_28
Mini-ring approach for high-throughput drug screenings in 3D tumor models	http://biorxiv.org/content/early/2017/09/28/138412	2184	871	2017_07_1	2017_09_28
Widespread dysregulation of the circadian clock in human cancer	http://biorxiv.org/content/early/2017/09/28/130765	1455	491	2017_07_13	2017_09_28
Gradual progression from sensory to task-related processing in cerebral cortex	http://biorxiv.org/content/early/2017/09/28/195602	219	40	2017_09_28	2017_09_28
Coupling of autonomic and central events during sleep boosts declarative memory consolidation	http://biorxiv.org/content/early/2017/09/28/195586	127	12	2017_09_28	2017_09_28
Infant Transmitted/Founder HIV-1 Viruses from Peripartum Transmission are Neutralization Resistant to Paired Maternal Plasma	http://biorxiv.org/content/early/2017/09/28/183368	97	5	2017_09_28	2017_09_28
Force dependence of filopodia adhesion: involvement of myosin II and formins	http://biorxiv.org/content/early/2017/09/28/195420	121	17	2017_09_28	2017_09_28
Selective Maintenance of Value Information Helps Resolve the Exploration/Exploitation Dilemma	http://biorxiv.org/content/early/2017/09/28/195453	154	15	2017_09_28	2017_09_28
Improved Score Statistics for Meta-analysis in Single-variant and Gene-level Association Studies	http://biorxiv.org/content/early/2017/09/28/195545	153	26	2017_09_28	2017_09_28
Thalamocortical and Intracortical Laminar Connectivity Determines Sleep Spindle Properties	http://biorxiv.org/content/early/2017/09/28/195552	119	22	2017_09_28	2017_09_28
Universal Panel Testing of Pancreatic Cancer Cases for Cancer Predisposition	http://biorxiv.org/content/early/2017/09/28/195537	156	22	2017_09_28	2017_09_28
MicroRNA miR-128 represses LINE-1 (L1) retrotransposition by downregulating the nuclear import factor TNPO1	http://biorxiv.org/content/early/2017/09/28/195206	126	6	2017_09_28	2017_09_28
On the dynamics of reproductive values and phenotypic traits in class-structured populations	http://biorxiv.org/content/early/2017/09/28/155879	303	64	2017_06_26	2017_09_28
Evolutionary rescue through partly heritable phenotypic variability	http://biorxiv.org/content/early/2017/09/28/092718	1414	548	2016_12_9	2017_09_28
OpenEHR modeling for genomics in clinical practice	http://biorxiv.org/content/early/2017/09/28/194720	226	22	2017_09_28	2017_09_28
Characterization of the Novel Mitochondrial Genome Replication Factor MiRF172 in Trypanosoma brucei	http://biorxiv.org/content/early/2017/09/28/194811	99	10	2017_09_28	2017_09_28
Abundance and diversity of the fecal resistome in slaughter pigs and broilers in nine European countries	http://biorxiv.org/content/early/2017/09/28/194647	214	24	2017_09_28	2017_09_28
Representational confusion: the plausible consequence of demeaning your data	http://biorxiv.org/content/early/2017/09/28/195271	220	42	2017_09_28	2017_09_28
Development of an Intrinsic Skin Sensor for Blood Glucose Level with CRISPR-mediated Genome Editing in Epidermal Stem Cells	http://biorxiv.org/content/early/2017/09/28/195529	185	17	2017_09_28	2017_09_28
LFASS: Label-Free Automated Survival Scoring for High-Throughput Nematode Assays	http://biorxiv.org/content/early/2017/09/28/195347	131	18	2017_09_28	2017_09_28
Impact of spatial organization on a novel auxotrophic interaction among soil microbes	http://biorxiv.org/content/early/2017/09/28/195339	115	5	2017_09_28	2017_09_28
Interconnections accelerate collapse in a socio-ecological metapopulation	http://biorxiv.org/content/early/2017/09/28/195412	135	16	2017_09_28	2017_09_28
Distinct prophase arrest mechanisms in human male meiosis	http://biorxiv.org/content/early/2017/09/28/195321	156	14	2017_09_28	2017_09_28
Global Land Use Implications of Dietary Trends: A Tragedy of the Commons	http://biorxiv.org/content/early/2017/09/28/195396	155	9	2017_09_28	2017_09_28
Interferon-inducible miR-128 modulates HIV-1 replication by targeting TNPO3 mRNA	http://biorxiv.org/content/early/2017/09/28/195511	136	4	2017_09_28	2017_09_28
Phylogenetic Comparative Methods on Phylogenetic Networks with Reticulations	http://biorxiv.org/content/early/2017/09/28/194050	274	36	2017_09_28	2017_09_28
Subtypes of functional brain connectivity as early markers of neurodegeneration in Alzheimer's disease	http://biorxiv.org/content/early/2017/09/28/195164	237	54	2017_09_28	2017_09_28
The HoxD Cluster is a Dynamic and Resilient TAD Boundary Controling the Segregation of Antagonistic Regulatory Landscapes	http://biorxiv.org/content/early/2017/09/28/193706	359	116	2017_09_28	2017_09_28
Massive expression of germ cell specific genes is a hallmark of cancer and a potential target for novel treatment development	http://biorxiv.org/content/early/2017/09/28/195305	232	27	2017_09_28	2017_09_28
Development of a high-throughput bead based assay system to measure HIV-1 specific immune signatures in clinical samples	http://biorxiv.org/content/early/2017/09/28/195362	130	5	2017_09_28	2017_09_28
Integrative pipeline for profiling DNA copy number and inferring tumor phylogeny	http://biorxiv.org/content/early/2017/09/28/195230	257	31	2017_09_28	2017_09_28
ATRX, DAXX or MEN1 mutant pancreatic neuroendocrine tumors are a distinct alpha-cell signature subgroup	http://biorxiv.org/content/early/2017/09/28/195214	133	9	2017_09_28	2017_09_28
Neonatal Zika virus infection causes epileptic seizures, viral persistence and long-term behavioral impairment	http://biorxiv.org/content/early/2017/09/28/195172	144	10	2017_09_28	2017_09_28
Age-related decline in behavioral discrimination of amplitude modulation frequencies compared to envelope-following responses	http://biorxiv.org/content/early/2017/09/28/193268	136	11	2017_09_28	2017_09_28
A screen for combination therapies in BRAF/NRAS wild type melanoma identifies nilotinib plus MEK inhibitor as a synergistic combination	http://biorxiv.org/content/early/2017/09/28/195354	181	18	2017_09_28	2017_09_28
Mutational signatures reveal the role of RAD52 in p53-independent p21 driven genomic instability	http://biorxiv.org/content/early/2017/09/28/195263	143	23	2017_09_28	2017_09_28
Insights into cerebral haemodynamics and oxygenation utilising in vivo mural cell imaging and mathematical modelling	http://biorxiv.org/content/early/2017/09/28/195503	119	11	2017_09_28	2017_09_28
Diminished dynamic cerebral autoregulatory capacity with forced oscillations in mean arterial pressure with elevated cardiorespiratory fitness	http://biorxiv.org/content/early/2017/09/28/190405	341	34	2017_09_19	2017_09_28
The GENIUS Approach to Robust Mendelian Randomization Inference	http://biorxiv.org/content/early/2017/09/28/193953.1	219	23	2017_09_28	2017_09_28
ABLE: an Activity-Based Level Set Segmentation Algorithm for Two-Photon Calcium Imaging Data	http://biorxiv.org/content/early/2017/09/28/190348	422	117	2017_09_18	2017_09_28
Extinction models of robustness for weighted ecological networks	http://biorxiv.org/content/early/2017/09/28/186577	387	71	2017_09_10	2017_09_28
Fitting mathematical models of biochemical pathways to steady state perturbation response data without simulating perturbation experiments	http://biorxiv.org/content/early/2017/09/28/183194	483	73	2017_08_31	2017_09_28
Hebbian Learning in a Random Network Captures Selectivity Properties of Prefrontal Cortex	http://biorxiv.org/content/early/2017/09/28/133025	1667	838	2017_08_3	2017_09_28
Co-evolution of dispersal with social behaviour favours social polymorphism	http://biorxiv.org/content/early/2017/09/28/127316	1001	255	2017_04_13	2017_09_28
ChromoTrace: Reconstruction of 3D Chromosome Configurations by Super-Resolution Microscopy	http://biorxiv.org/content/early/2017/09/28/115436	2467	1134	2017_03_9	2017_09_28
Posterior parietal cortex represents sensory stimulus history and is necessary for its effects on behavior	http://biorxiv.org/content/early/2017/09/28/182246	2113	764	2017_08_30	2017_09_28
Re-evaluating inheritance in genome evolution: widespread transfer of LINEs between species	http://biorxiv.org/content/early/2017/09/28/106914	1181	402	2017_03_1	2017_09_28
A comprehensive characterization of cis-acting splicing-associated variants in human cancer	http://biorxiv.org/content/early/2017/09/28/162560	677	232	2017_07_13	2017_09_28
Why Does the Neocortex Have Columns, A Theory of Learning the Structure of the World	http://biorxiv.org/content/early/2017/09/28/162263	18022	3871	2017_09_6	2017_09_28
Quantifying ethical tradeoffs for vaccine efficacy trials during severe epidemics	http://biorxiv.org/content/early/2017/09/28/193649	216	16	2017_09_28	2017_09_28
Interactions between immunotoxicants and parasite stress: implications for host health	http://biorxiv.org/content/early/2017/09/28/194142	115	6	2017_09_28	2017_09_28
Which are major players, canonical or non-canonical strigolactones?	http://biorxiv.org/content/early/2017/09/28/195255	165	16	2017_09_28	2017_09_28
A cross-cultural study of sex-typicality and averageness: Correlation between frontal and lateral measures of human faces	http://biorxiv.org/content/early/2017/09/28/194662	163	8	2017_09_28	2017_09_28
Behavioral diversity assisting obstacle navigation during group transportation in ant	http://biorxiv.org/content/early/2017/09/28/194100	132	7	2017_09_28	2017_09_28
Method for identification of condition-associated public antigen receptor sequences	http://biorxiv.org/content/early/2017/09/27/195057	145	7	2017_09_27	2017_09_27
Classifying cancer genome aberrations by their mutually exclusive effects on transcription	http://biorxiv.org/content/early/2017/09/27/122549	1134	282	2017_04_28	2017_09_27
Enriched pathogen diversity under host-type heterogeneity and immune-mediated competition	http://biorxiv.org/content/early/2017/09/27/195065.1	106	12	2017_09_27	2017_09_27
Age at first birth in women is genetically associated with increased risk of schizophrenia	http://biorxiv.org/content/early/2017/09/27/194076	290	27	2017_09_27	2017_09_27
Intragenus variation in a Chemokine Receptor Gene (CCR5) in Homo	http://biorxiv.org/content/early/2017/09/27/195081	59	6	2017_09_27	2017_09_27
PharmacoDB: an integrative database for mining in vitro anticancer drug screening studies	http://biorxiv.org/content/early/2017/09/27/195149	243	42	2017_09_27	2017_09_27
Chronic intermittent nicotine delivery with lung alveolar region-targeted aerosol technology produces circadian blood pharmacokinetics in rats resembling human smokers	http://biorxiv.org/content/early/2017/09/27/195123	45	4	2017_09_27	2017_09_27
Entering the era of conservation genomics: Cost-effective assembly of the African wild dog genome using linked long reads	http://biorxiv.org/content/early/2017/09/27/195180	230	40	2017_09_27	2017_09_27
Inhaled nicotine equivalent to cigarette smoking disrupts systemic and uterine hemodynamics and induces cardiac arrhythmia in pregnant rats	http://biorxiv.org/content/early/2017/09/27/195099	40	3	2017_09_27	2017_09_27
Sub-threshold resonance organizes activity and optimizes learning in neural networks.	http://biorxiv.org/content/early/2017/09/27/195040	102	19	2017_09_27	2017_09_27
Individual nephron proteomes connect morphology and function in proteinuric kidney disease	http://biorxiv.org/content/early/2017/09/27/194795	103	10	2017_09_27	2017_09_27
The architecture and design of ecological null models	http://biorxiv.org/content/early/2017/09/27/195131	222	28	2017_09_27	2017_09_27
Quaddles: A multidimensional 3D object set with parametrically-controlled and customizable features	http://biorxiv.org/content/early/2017/09/27/194381	55	11	2017_09_27	2017_09_27
Global analysis of specificity determinants in eukaryotic protein kinases	http://biorxiv.org/content/early/2017/09/27/195115	240	71	2017_09_27	2017_09_27
A neural decoder for learned vocal behavior	http://biorxiv.org/content/early/2017/09/27/193987	38	12	2017_09_26	2017_09_27
Systemic Markers of Adaptive and Innate Immunity Are Associated with COPD Severity and Spirometric Disease Progression	http://biorxiv.org/content/early/2017/09/27/193920	36	4	2017_09_26	2017_09_27
Conserved Neural Circuit Structure Across Drosophila Larval Development Revealed By Comparative Connectomics	http://biorxiv.org/content/early/2017/09/27/143727	964	384	2017_05_30	2017_09_27
Fast Inference of Individual Admixture Coefficients Using Geographic Data	http://biorxiv.org/content/early/2017/09/27/080291	1476	520	2016_10_12	2017_09_27
The distribution of crossovers, and the measure of total recombination	http://biorxiv.org/content/early/2017/09/27/194837	243	51	2017_09_27	2017_09_27
Successful optimization of CRISPR/Cas9-mediated defined point mutation knock-in using allele-specific PCR assays in zebrafish	http://biorxiv.org/content/early/2017/09/27/194936	217	43	2017_09_27	2017_09_27
Estimation of genetic correlation using linkage disequilibrium score regression and genomic restricted maximum likelihood	http://biorxiv.org/content/early/2017/09/27/194019	391	83	2017_09_27	2017_09_27
Human replication licensing factor Cdt1 directly links mitotic kinetochores to spindle microtubules	http://biorxiv.org/content/early/2017/09/27/194993	80	10	2017_09_27	2017_09_27
Spatially uniform establishment of chromatin accessibility in the early Drosophila embryo	http://biorxiv.org/content/early/2017/09/27/195073	496	135	2017_09_27	2017_09_27
Improved prediction of Bovine Leucocyte Antigens (BoLA) presented ligands by use of MS eluted ligands and in-vitro binding data; impact for the identification T cell epitopes	http://biorxiv.org/content/early/2017/09/27/195016	53	1	2017_09_27	2017_09_27
Approximate Bayesian computation reveals the importance of repeated measurements for parameterising cell-based models of growing tissues	http://biorxiv.org/content/early/2017/09/27/194712	125	22	2017_09_27	2017_09_27
The CLAVATA receptor FASCIATED EAR2 responds to different CLE peptides by signaling through different downstream effectors.	http://biorxiv.org/content/early/2017/09/27/194951	168	33	2017_09_27	2017_09_27
Inferring processes of community assembly from macroscopic patterns: the case for inclusive and mechanistic approaches	http://biorxiv.org/content/early/2017/09/27/195008	90	12	2017_09_27	2017_09_27
Mixed model association for biobank-scale data sets	http://biorxiv.org/content/early/2017/09/27/194944	410	136	2017_09_27	2017_09_27
Neural coding of fine-grained object knowledge in perirhinal cortex	http://biorxiv.org/content/early/2017/09/27/194829	95	13	2017_09_27	2017_09_27
Kinetics of HIV-Specific CTL Responses Plays a Minimal Role in Determining HIV Escape Dynamics	http://biorxiv.org/content/early/2017/09/27/194886	51	1	2017_09_27	2017_09_27
Assessing the quality of supplementary sensory feedback using a crossmodal congruency task	http://biorxiv.org/content/early/2017/09/27/194977	55	2	2017_09_27	2017_09_27
A system-wide approach to monitor responses to synergistic BRAF and EGFR inhibition in colorectal cancer cells	http://biorxiv.org/content/early/2017/09/27/194845	82	17	2017_09_27	2017_09_27
Stress granule-inducing eukaryotic translation initiation factor 4A inhibitors block influenza A virus replication	http://biorxiv.org/content/early/2017/09/27/194589	99	11	2017_09_27	2017_09_27
FENNEC - Functional Exploration of Natural Networks and Ecological Communities	http://biorxiv.org/content/early/2017/09/27/194308	110	16	2017_09_27	2017_09_27
Transcriptional control by Sall4 in blastocysts facilitates lineage commitment of inner cell mass cells	http://biorxiv.org/content/early/2017/09/27/194852	256	46	2017_09_27	2017_09_27
Non-Elastic Remodeling of the 3D Extracellular Matrix by Cell-Generated Forces	http://biorxiv.org/content/early/2017/09/27/193458	86	10	2017_09_27	2017_09_27
Revealing ETC-1922159 affected unknown 3rd order WNT10B-X-X combinations, in silico	http://biorxiv.org/content/early/2017/09/27/192393	33	5	2017_09_22	2017_09_27
The role of traction in membrane curvature generation	http://biorxiv.org/content/early/2017/09/27/157313	391	188	2017_06_29	2017_09_27
Radical changes persist longer in the absence of sex	http://biorxiv.org/content/early/2017/09/27/049924	1032	281	2016_04_23	2017_09_27
Gene transfers, like fossils, can date the Tree of Life	http://biorxiv.org/content/early/2017/09/27/193813.1	337	70	2017_09_27	2017_09_27
Adaptation to a Space-variant Visuomotor Delay can Cause Neglect-like Effects on Drawing Symmetry	http://biorxiv.org/content/early/2017/09/27/193334	18	7	2017_09_24	2017_09_27
Characterization and Validation of a Novel Group of Type V, Class 2 Nucleases for in vivo Genome Editing	http://biorxiv.org/content/early/2017/09/27/192799	57	23	2017_09_23	2017_09_27
Progesterone receptor maintains estrogen receptor gene expression by regulating DNA methylation in hormone-free breast cancer cells	http://biorxiv.org/content/early/2017/09/27/192567	20	4	2017_09_23	2017_09_27
Time-conditional properties of branches in coalescent gene trees	http://biorxiv.org/content/early/2017/09/27/189209	375	36	2017_09_18	2017_09_27
Rats and axolotls share a common molecular signature after spinal cord injury enriched in collagen-1	http://biorxiv.org/content/early/2017/09/27/184713	222	49	2017_09_5	2017_09_27
Proto-ribosome: a theoretical approach based on RNA relics	http://biorxiv.org/content/early/2017/09/27/182055	322	63	2017_08_29	2017_09_27
Biphasic, Switch-Like Isothermal DNA Amplification	http://biorxiv.org/content/early/2017/09/27/169805	514	89	2017_07_28	2017_09_27
Real Time Estimation of Population Receptive Fields Using Gradient Descent	http://biorxiv.org/content/early/2017/09/27/194621	62	15	2017_09_27	2017_09_27
MatClassRSA: A Matlab toolbox for M/EEG classification and visualization of proximity matrices	http://biorxiv.org/content/early/2017/09/27/194563	84	36	2017_09_27	2017_09_27
History is written by the victors: the effect of the push of the past on the fossil record	http://biorxiv.org/content/early/2017/09/27/194753	159	31	2017_09_27	2017_09_27
Quantification of cellular distribution as Poisson process in 3D matrix using a multiview light-sheet microscope	http://biorxiv.org/content/early/2017/09/27/194571	60	11	2017_09_27	2017_09_27
The Generalized Data Model for Clinical Research	http://biorxiv.org/content/early/2017/09/27/194597	143	17	2017_09_27	2017_09_27
Uncoordinated centrosome duplication cycle underlies the instability of non-diploid states in mammalian somatic cells	http://biorxiv.org/content/early/2017/09/27/194746	74	12	2017_09_27	2017_09_27
Avoidance of toxic misfolding does not explain the sequence constraints of highly expressed proteins across organisms	http://biorxiv.org/content/early/2017/09/27/168963	899	153	2017_07_27	2017_09_27
A Rational Drug Combination Design to Inhibit Epithelial-Mesenchymal Transition in a Three-Dimensional Microenvironment	http://biorxiv.org/content/early/2017/09/27/148767	754	204	2017_06_12	2017_09_27
Otolith microchemistry identifies diadromous populations of Patagonian river fishes	http://biorxiv.org/content/early/2017/09/27/174656	NA	NA	2017_09_27	2017_09_27
MaxTiC: Fast Ranking Of A Phylogenetic Tree By Maximum Time Consistency With Lateral Gene Transfers	http://biorxiv.org/content/early/2017/09/27/127548	1055	251	2017_06_27	2017_09_27
A coarse-graining, ultrametric approach to resolve the phylogeny of prokaryotic strains with frequent recombination	http://biorxiv.org/content/early/2017/09/27/094599	1188	161	2017_02_21	2017_09_27
GLP-1 receptor agonist ameliorates obesity-induced chronic kidney injury via restoring renal lipid and energy metabolism homeostasis: revealed by metabolomics	http://biorxiv.org/content/early/2017/09/27/194654	18	2	2017_09_27	2017_09_27
Goodness of fit checks for binomial N-mixture models	http://biorxiv.org/content/early/2017/09/27/194340	70	8	2017_09_27	2017_09_27
Genomic signature of experimental adaptation of Staphylococcus aureus to a natural combination of insect antimicrobial peptides	http://biorxiv.org/content/early/2017/09/27/194738	66	4	2017_09_27	2017_09_27
Resolving ESCRT-III spirals at the intercellular bridge of dividing cells using 3D STORM imaging	http://biorxiv.org/content/early/2017/09/27/194613	119	27	2017_09_27	2017_09_27
Integrative Statistical Inferences for Drug Sensitivity Biomarkers in Cancer	http://biorxiv.org/content/early/2017/09/27/194670	34	2	2017_09_27	2017_09_27
Genome-wide Association Study Links APOEϵ4 and BACE1 Variants with Plasma Amyloid β Levels	http://biorxiv.org/content/early/2017/09/27/194266	68	14	2017_09_27	2017_09_27
Allosteric Activation of p300 Autoacetylation by the Tumor Suppressor p53	http://biorxiv.org/content/early/2017/09/27/194704	57	6	2017_09_27	2017_09_27
Bdellovibrio and like organisms bacterial predators are not equally distributed in peri-alpine lakes	http://biorxiv.org/content/early/2017/09/27/194688	51	2	2017_09_27	2017_09_27
